Cuisines,Food item,Type,MealTimings,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside
South Karnataka,ragi mudde,veg,"l,d",2 balls,4.3,42.8,0.8,6.8,212.83,300,195,,0,1
South Karnataka,ragi roti,veg,b,1 roti,2,19.2,0.4,3.1,92.14,40,87,,0,1
South Karnataka,benne dosa,veg,b,1 dosa,2.9,19.7,2.5,0.9,5.95,60,113,,0,1
South Karnataka,akki roti,veg,b,1 roti,2.2,26.7,4.9,1.4,14.48,80,162,,0,1
South Karnataka,bsi bele bath,veg,l,1 cup,7.6,30.8,8.9,5,37.36,206,233,,0,0
South Karnataka,vangi bath,veg,l,1 cup,5,20.6,11,7.6,120.22,166,197,,0,0
South Karnataka,coorgi pandi curry,non veg,"l,d",1 cup,21.1,4.5,28.4,1.6,46.13,216,362,,1,0
South Karnataka,kodava kuutu curry,veg,l,1 cup,7.3,35.1,12.5,13.8,82.56,250,279,,1,0
South Karnataka,kadambuttu,veg,s,1 piece,1.4,13,1.4,0.6,4.66,40,70,,0,0
South Karnataka,Besan utappam,veg,b,1 uttapam,5.3,15.9,6.6,3.3,25.29,123,143,,0,1
South Karnataka,curd rice,veg,l,1 cup,5.8,26.3,9.2,0.7,166.51,216,211,,0,0
South Karnataka,koli saaru,non veg,l,1 cup,27.1,9.1,11.6,3,91.83,250,246,,1,0
South Karnataka,Menthe soppu huli,veg,l,1 cup,8.7,23.6,4,5.3,115.32,250,164,,1,0
South Karnataka,Balekai palya,veg,"l,d",1 cup,3.3,33.8,12.1,5.4,28.76,166,245,,1,0
South Karnataka,Chitranna,veg,l,1 cup,6.2,43.6,5.1,1.9,23.3,206,244,,0,0
South Karnataka,Saagu,veg,b,1 cup,4,20.8,9.4,5.6,56.15,216,181,,1,0
South Karnataka,Kosambari,veg,s,1 cup,8.4,24,6,5.3,35.78,166,181,,0,0
South Karnataka,Uppittu (Upma),veg,b,1 cup,5.2,34.3,3,2.5,32.46,216,184,,0,0
South Karnataka,Gojju,veg,"b,l,d",1 cup,1,23.6,4.5,1,40.66,250,136,,1,0
South Karnataka,Shavige Bath,veg,b,1 cup,4.2,33.4,3.9,4.5,30.38,166,184,,0,0
South Karnataka,Huli,veg,l,1 cup,17.5,54.1,11.6,13.6,118.26,350,386,,1,0
South Karnataka,Nuchinunde,veg,s,1 unde,3.6,9.2,0.9,1.7,11.5,50,59,,0,0
South Karnataka,Thili Saaru,veg,l,1 cup,2.5,9.6,1.3,1.7,33.04,250,60,,1,0
South Karnataka,Kadlekalu Usli,veg,s,1 cup,9.2,31.8,10.7,14.7,88.61,166,260,,0,0
South Karnataka,Majjige Huli,veg,l,1 cup,3.9,8.7,9.3,4.4,121.8,250,133,,1,0
South Karnataka,Badanekai Yennegai,veg,"l,d",1 cup,5.1,13.8,12.6,6.4,66.88,250,184,,1,0
South Karnataka,rice ,veg,l,1 cup,2,28,0,0.9,10,31,123,,0,1
South Karnataka,chapati,veg,"l,d",1 medium ,3.14,18.45,3.68,3.88,0,40,119.6,,0,1
