Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
Malnad,Nellikai Chitranna,veg,1 bowl,4.4,43.4,3.2,2.4,43.75,220,219.0,,0,0,5.0,0
Malnad,ragi mudde + Bamboo Shoot Curry,veg,2 balls + 1 katori,7.699999999999999,52.9,9.1,10.9,250.92,450,320.0,,1,1,5.0,0
Malnad,ragi mudde + Koli Curry,non veg,2 balls + 1 cup,30.4,51.5,14.6,9.8,276.96000000000004,550,462.0,,1,1,5.0,chicken
Malnad,rice  + Bamboo Shoot Curry,veg,1 cup + 1 katori,5.4,38.1,8.3,5.0,48.09,181,248.0,,1,1,5.0,0
Malnad,rice  + Koli Curry,non veg,1 cup + 1 cup,28.1,36.7,13.8,3.9,74.13,281,390.0,,1,1,5.0,chicken
Malnad,rice  + Mushroom Curry,veg,1 cup + 1 cup,7.1,39.6,7.5,4.5,51.11,281,247.0,,1,1,5.0,0
Malnad,rice  + Puli Koddel,veg,1 cup + 1 cup,3.9,44.1,19.3,6.2,89.39,281,367.0,,1,1,5.0,0
Malnad,chapati + Bamboo Shoot Curry,veg,1 medium  + 1 katori,6.54,28.55,11.98,7.979999999999999,38.09,190,244.6,,1,1,5.0,0
Malnad,chapati + Mushroom Curry,veg,1 medium  + 1 cup,8.24,30.05,11.18,7.48,41.11,290,243.6,,1,1,5.0,0
Malnad,chapati + Puli Koddel,veg,1 medium  + 1 cup,5.04,34.55,22.98,9.18,79.39,290,363.6,,1,1,5.0,0
