north kerala,Thalassery Biriyani,non veg,l,1 cup,12.6,29.5,10.7,1.4,41.0,206,269.0,,0,0,chicken
north kerala,Kozhi Pidi,non veg,"l,d",1 cup,19.2,27.3,14.3,4.6,39.0,216,318.0,,0,0,chicken
north kerala,Kozhikode Biryani,non veg,l,1 cup,13.3,29.4,11.4,1.0,60.6,206,277.0,,0,0,chicken
north kerala,pathiri + Kallummakkaya (Mussels) Curry,non veg,l,1 piece + 1 bowl,11.899999999999999,19.6,16.8,3.9,380.73,230,267.0,,1,1,5.0,seafood
north kerala,pathiri + Fish Mango Curry,non veg,l,1 piece + 1 cup,28.7,24.6,8.8,1.2,72.73,280,291.0,,1,1,5.0,seafood
north kerala,pathiri + Kadukka (Mussels) Fry,non veg,l,1 piece + 1 cup,19.7,12.4,12.200000000000001,0.8,776.73,196,240.0,,1,1,5.0,seafood
north kerala,pathiri + Kannur Meen Curry,non veg,l,1 piece + 1 bowl,20.2,15.3,9.4,2.3,59.919999999999995,180,230.0,,1,1,5.0,seafood
north kerala,pathiri + Payyoli Chicken Fry,non veg,l,1 piece + 1 cup,30.5,12.2,19.0,1.8,36.54,196,351.0,,1,1,5.0,chicken
north kerala,malabar parotta + Kallummakkaya (Mussels) Curry,non veg,l,1 piece + 1 bowl,16.1,45.099999999999994,30.9,4.7,413.21,280,513.0,,1,1,5.0,seafood
north kerala,malabar parotta + Fish Mango Curry,non veg,l,1 piece + 1 cup,32.9,50.099999999999994,22.9,2.0,105.21000000000001,330,537.0,,1,1,5.0,seafood
north kerala,malabar parotta + Kadukka (Mussels) Fry,non veg,l,1 piece + 1 cup,23.9,37.9,26.3,1.6,809.21,246,486.0,,1,1,5.0,seafood
north kerala,malabar parotta + Kannur Meen Curry,non veg,l,1 piece + 1 bowl,24.4,40.8,23.5,3.1,92.4,230,476.0,,1,1,5.0,seafood
north kerala,malabar parotta + Payyoli Chicken Fry,non veg,l,1 piece + 1 cup,34.7,37.699999999999996,33.1,2.6,69.02000000000001,246,597.0,,1,1,5.0,chicken
north kerala,Fish Mango Curry + Kallummakkaya (Mussels) Curry,non veg,l,1 cup + 1 bowl,39.2,25.4,24.0,4.5,450.0,450,460.0,,1,1,5.0,seafood
north kerala,rice  + Kallummakkaya (Mussels) Curry,non veg,l,1 cup + 1 bowl,13.2,38.2,16.0,4.5,389.0,231,341.0,,1,1,5.0,seafood
north kerala,rice  + Fish Mango Curry,non veg,l,1 cup + 1 cup,30.0,43.2,8.0,1.8,81.0,281,365.0,,1,1,5.0,seafood
north kerala,rice  + Kannur Meen Curry,non veg,l,1 cup + 1 bowl,21.5,33.9,8.6,2.9,68.19,181,304.0,,1,1,5.0,seafood
north kerala,chapati + Kallummakkaya (Mussels) Curry,non veg,l,1 medium  + 1 bowl,14.34,28.65,19.68,7.48,379.0,240,337.6,,1,1,5.0,seafood
north kerala,chapati + Fish Mango Curry,non veg,l,1 medium  + 1 cup,31.14,33.65,11.68,4.78,71.0,290,361.6,,1,1,5.0,seafood
north kerala,chapati + Kadukka (Mussels) Fry,non veg,l,1 medium  + 1 cup,22.14,21.45,15.08,4.38,775.0,206,310.6,,1,1,5.0,seafood
north kerala,chapati + Kannur Meen Curry,non veg,l,1 medium  + 1 bowl,22.64,24.35,12.28,5.88,58.19,190,300.6,,1,1,5.0,seafood
north kerala,chapati + Payyoli Chicken Fry,non veg,l,1 medium  + 1 cup,32.94,21.25,21.88,5.38,34.81,206,421.6,,1,1,5.0,chicken
