Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
konkan,Kombdi Vade + Malvani Fish Curry,non veg,3 vade 1 kartori curry + 1 cup,47.3,51.900000000000006,39.9,9.8,201.66,520,756.0,,1,1,5.0,seafood
konkan,Kombdi Vade + Phanasachi Bhaji,veg,3 vade 1 kartori curry + 1 cup,28.6,67.2,33.1,9.1,119.73,436,673.0,,1,1,5.0,0
konkan,Kombdi Vade + Bombil duck Fry,non veg,3 vade 1 kartori curry + 1 bombil,32.2,44.4,30.200000000000003,6.6,153.28,320,581.0,,1,1,5.0,seafood
konkan,Kombdi Vade + Valache Birdhe,veg,3 vade 1 kartori curry + 1 cup,37.1,72.3,30.9,18.2,131.32,520,715.0,,1,1,5.0,0
konkan,Kombdi Vade + Kaju Usal,veg,3 vade 1 kartori curry + 1 cup,34.0,60.0,46.0,8.3,111.2,520,771.0,,1,1,5.0,0
konkan,Kombdi Vade + Tisryanche Suke,non veg,3 vade 1 kartori curry + 1 cup,45.2,51.7,35.5,8.0,141.37,436,713.0,,1,1,5.0,seafood
konkan,Kombdi Vade + Konkani coconut Curry,veg,3 vade 1 kartori curry + 1 bowl,30.6,56.900000000000006,54.7,16.1,143.62,620,843.0,,1,1,5.0,0
konkan,Kombdi Vade + Gajbaje,veg,3 vade 1 kartori curry + 1 cup,29.2,58.400000000000006,42.0,11.2,110.42,520,729.0,,1,1,5.0,0
konkan,Tandalachi Bhakri + Malvani Fish Curry,non veg,1 bhakri + 1 cup,22.8,31.1,15.0,4.0,123.26,300,352.0,,1,1,5.0,seafood
konkan,Tandalachi Bhakri + Phanasachi Bhaji,veg,1 bhakri + 1 cup,4.1,46.400000000000006,8.2,3.3,41.33,216,269.0,,1,1,5.0,0
konkan,Tandalachi Bhakri + Bombil duck Fry,non veg,1 bhakri + 1 bombil,7.7,23.6,5.300000000000001,0.7999999999999999,74.88,100,177.0,,1,1,5.0,seafood
konkan,Tandalachi Bhakri + Valache Birdhe,veg,1 bhakri + 1 cup,12.6,51.5,6.0,12.4,52.92,300,311.0,,1,1,5.0,0
konkan,Tandalachi Bhakri + Kaju Usal,veg,1 bhakri + 1 cup,9.5,39.2,21.1,2.5,32.8,300,367.0,,1,1,5.0,0
konkan,Tandalachi Bhakri + Tisryanche Suke,non veg,1 bhakri + 1 cup,20.7,30.9,10.6,2.2,62.97,216,309.0,,1,1,5.0,seafood
konkan,Tandalachi Bhakri + Konkani coconut Curry,veg,1 bhakri + 1 bowl,6.1000000000000005,36.1,29.8,10.3,65.22,400,439.0,,1,1,5.0,0
konkan,Tandalachi Bhakri + Gajbaje,veg,1 bhakri + 1 cup,4.7,37.6,17.099999999999998,5.4,32.02,300,325.0,,1,1,5.0,0
konkan,rice  + Malvani Fish Curry,non veg,1 cup + 1 cup,23.1,36.3,14.6,4.2,129.70999999999998,281,371.0,,1,1,5.0,seafood
konkan,rice  + Phanasachi Bhaji,veg,1 cup + 1 cup,4.4,51.6,7.8,3.5,47.78,197,288.0,,1,1,5.0,0
konkan,rice  + Bombil duck Fry,non veg,1 cup + 1 bombil,8.0,28.8,4.9,1.0,81.33,81,196.0,,1,1,5.0,seafood
konkan,rice  + Valache Birdhe,veg,1 cup + 1 cup,12.9,56.7,5.6,12.6,59.37,281,330.0,,1,1,5.0,0
konkan,rice  + Kaju Usal,veg,1 cup + 1 cup,9.8,44.4,20.7,2.7,39.25,281,386.0,,1,1,5.0,0
konkan,rice  + Konkani coconut Curry,veg,1 cup + 1 bowl,6.4,41.3,29.4,10.5,71.67,381,458.0,,1,1,5.0,0
konkan,rice  + Gajbaje,veg,1 cup + 1 cup,5.0,42.8,16.7,5.6000000000000005,38.47,281,344.0,,1,1,5.0,0
konkan,chapati + Malvani Fish Curry,non veg,1 medium  + 1 cup,24.24,26.75,18.28,7.18,119.71,290,367.6,,1,1,5.0,seafood
konkan,chapati + Phanasachi Bhaji,veg,1 medium  + 1 cup,5.54,42.05,11.48,6.48,37.78,206,284.6,,1,1,5.0,0
konkan,chapati + Bombil duck Fry,non veg,1 medium  + 1 bombil,9.14,19.25,8.58,3.98,71.33,90,192.6,,1,1,5.0,seafood
konkan,chapati + Valache Birdhe,veg,1 medium  + 1 cup,14.04,47.15,9.28,15.579999999999998,49.37,290,326.6,,1,1,5.0,0
konkan,chapati + Kaju Usal,veg,1 medium  + 1 cup,10.94,34.849999999999994,24.38,5.68,29.25,290,382.6,,1,1,5.0,0
konkan,chapati + Tisryanche Suke,non veg,1 medium  + 1 cup,22.14,26.55,13.88,5.38,59.42,206,324.6,,1,1,5.0,seafood
konkan,chapati + Konkani coconut Curry,veg,1 medium  + 1 bowl,7.540000000000001,31.75,33.08,13.48,61.67,390,454.6,,1,1,5.0,0
konkan,chapati + Gajbaje,veg,1 medium  + 1 cup,6.140000000000001,33.25,20.38,8.58,28.47,290,340.6,,1,1,5.0,0
