Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
kongu naadu,Ellu Sadam,veg,1 cup,11.4,48.0,14.5,6.0,218.0,206.0,366.0,,0,0,5.0,0
kongu naadu,Seeraga Samba Rice Biriyani,non veg,1 cup,4.0,35.0,7.1,2.8,32.0,206.0,223.0,,0,0,5.0,chicken
kongu naadu,rice  + Kongunadu Chicken Curry,non veg,1 cup + 1 cup,29.8,47.8,13.4,6.4,68.0,281.0,436.0,,1,1,5.0,chicken
kongu naadu,rice  + Pallipalayam Chicken,non veg,1 cup + 1 cup,22.5,37.8,22.2,4.5,48.57,281.0,439.0,,1,1,5.0,chicken
kongu naadu,rice  + Kongunadu Mutton Kuzhambu,non veg,1 cup + 1 cup,22.3,41.2,20.5,5.800000000000001,246.0,281.0,437.0,,1,1,5.0,mutton
kongu naadu,rice  + undakkai Vathal Kuzhambu,veg,1 cup + 1 tablespoon,2.8,33.0,3.0,0.9,45.1,42.7,172.0,,1,1,5.0,0
kongu naadu,rice  + Thengai Paal Kozhi,non veg,1 cup + 1 cup,26.5,39.7,20.7,4.6000000000000005,52.5,281.0,447.0,,1,1,5.0,chicken
kongu naadu,rice  + Kongunadu Urundai Kuzhambu,veg,1 cup + 1 cup,9.8,53.5,11.5,6.6000000000000005,79.0,281.0,357.0,,1,1,5.0,0
kongu naadu,rice  + Kootu,veg,1 cup + 1 cup,19.5,138.7,4.1,17.9,118.0,201.0,672.0,,1,1,5.0,0
kongu naadu,chapati + Kongunadu Chicken Curry,non veg,1 medium  + 1 cup,30.94,38.25,17.080000000000002,9.38,58.0,290.0,432.6,,1,1,5.0,chicken
kongu naadu,chapati + Pallipalayam Chicken,non veg,1 medium  + 1 cup,23.64,28.25,25.88,7.48,38.57,290.0,435.6,,1,1,5.0,chicken
kongu naadu,chapati + Kongunadu Mutton Kuzhambu,non veg,1 medium  + 1 cup,23.44,31.65,24.18,8.780000000000001,236.0,290.0,433.6,,1,1,5.0,mutton
kongu naadu,chapati + undakkai Vathal Kuzhambu,veg,1 medium  + 1 tablespoon,3.94,23.45,6.68,3.88,35.1,51.7,168.6,,1,1,5.0,0
kongu naadu,chapati + Thengai Paal Kozhi,non veg,1 medium  + 1 cup,27.64,30.15,24.38,7.58,42.5,290.0,443.6,,1,1,5.0,chicken
kongu naadu,chapati + Kongunadu Urundai Kuzhambu,veg,1 medium  + 1 cup,10.94,43.95,15.18,9.58,69.0,290.0,353.6,,1,1,5.0,0
kongu naadu,chapati + Nethili Fry,non veg,1 medium  + 1 cup,29.84,27.65,35.18,5.779999999999999,72.0,206.0,543.6,,1,1,5.0,seafood
