Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
naadu naadu,reode Turmeric Rice,veg,1 cup,4.0,40.0,4.5,2.0,28.0,206,216.0,,0,0,5.0,0
naadu naadu,Dindigul Biriyani,non veg,1 cup,12.2,31.0,12.0,1.4,118.9,206,283.0,,0,0,5.0,chicken
naadu naadu,Karur Parotta + Kongunadu Chicken Curry,non veg,1 piece + 1 cup,8.4,53.2,30.1,6.9,103.21,330,510.0,,1,1,5.0,chicken
naadu naadu,Karur Parotta + athal Kuzhambu,veg,1 piece + 1 bowl,8.600000000000001,72.0,16.7,7.6,189.21,430,465.0,,1,1,5.0,0
naadu naadu,Namakkal Egg Parotta + Kongunadu Chicken Curry,non veg,1 piece + 1 cup,10.9,35.8,23.4,8.5,109.0,330,387.0,,1,1,5.0,chicken
naadu naadu,rice  + Kongunadu Chicken Curry,non veg,1 cup + 1 cup,5.5,46.2,15.1,6.7,79.0,281,338.0,,1,1,5.0,chicken
naadu naadu,rice  + rasam,veg,1 cup + 1 cup,4.5,37.6,1.3,2.6,43.0,281,183.0,,1,1,5.0,0
naadu naadu,rice  + athal Kuzhambu,veg,1 cup + 1 bowl,5.7,65.0,1.7,7.4,165.0,381,293.0,,1,1,5.0,0
naadu naadu,rice  + Salem Sambhar,veg,1 cup + 1 cup,11.2,55.0,5.0,6.9,70.0,281,312.0,,1,1,5.0,0
naadu naadu,chapati + Kongunadu Chicken Curry,non veg,1 medium  + 1 cup,6.640000000000001,36.65,18.78,9.68,69.0,290,334.6,,1,1,5.0,chicken
naadu naadu,chapati + athal Kuzhambu,veg,1 medium  + 1 bowl,6.84,55.45,5.38,10.38,155.0,390,289.6,,1,1,5.0,0
