Cuisines,Food item,Type,MealTimings,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,meat_type
South Indian,dosa + sambar,veg,b,1 medium dosa + 1 bowl (2 cups),18.0,82.03,5.0600000000000005,15.479999999999999,0,602.78,427.47,,1,1,4.0
South Indian,dosa + coconut chutneys,veg,b,1 medium dosa + 2 tbsp,5.15,34.12,8.1,2.53,0,133.98000000000002,227.63,,1,1,5.0
South Indian,dosa + onion chutney,veg,b,1 medium dosa + 2 tbsp,4.25,31.369999999999997,6.16,1.21,0,131.38,198.54,,1,1,5.0
South Indian,dosa + tomato chutney,veg,b,1 medium dosa + 1 tbsp,4.21,36.879999999999995,3.85,1.31,0,142.78,201.35,,1,1,5.0
South Indian,dosa + mango chutney,veg,b,1 medium dosa + 1 tbsp,4.02,37.54,3.8200000000000003,1.06,0,113.78,201.01999999999998,,1,1,5.0
South Indian,dosa + green chutney,veg,b,1 medium dosa + 1 tablespoon,4.7299999999999995,30.869999999999997,5.13,1.33,0,113.78,188.33999999999997,,1,1,5.0
South Indian,dosa + garlic chutney,veg,b,1 medium dosa + 1 cup,5.14,33.96,23.0,1.9700000000000002,0,252.63,359.99,,1,1,5.0
South Indian,dosa + tamarind chutney,veg,b,1 medium dosa + 1 tbsp,3.98,34.07,3.75,1.1099999999999999,0,114.63,186.44,,1,1,5.0
South Indian,dosa + dahi,veg,b,1 medium dosa + 5.3 oz container,17.38,35.17,11.22,0.86,0,246.78,313.16999999999996,,1,1,3.0
South Indian,ragi dosa + sambar,veg,b,1 medium dosa + 1 bowl (2 cups),16.07,67.41,9.11,15.36,0,586.0,394.59000000000003,,1,1,3.0
South Indian,ragi dosa + coconut chutneys,veg,b,1 medium dosa + 2 tbsp,3.2199999999999998,19.5,12.149999999999999,2.41,0,117.2,194.75,,1,1,5.0
South Indian,ragi dosa + onion chutney,veg,b,1 medium dosa + 2 tbsp,2.32,16.75,10.209999999999999,1.0899999999999999,0,114.6,165.66,,1,1,5.0
South Indian,ragi dosa + tomato chutney,veg,b,1 medium dosa + 1 tbsp,2.28,22.259999999999998,7.8999999999999995,1.19,0,126.0,168.47,,1,1,5.0
South Indian,ragi dosa + mango chutney,veg,b,1 medium dosa + 1 tbsp,2.09,22.92,7.869999999999999,0.94,0,97.0,168.14,,1,1,5.0
South Indian,ragi dosa + green chutney,veg,b,1 medium dosa + 1 tablespoon,2.8,16.25,9.18,1.21,0,97.0,155.45999999999998,,1,1,5.0
South Indian,ragi dosa + garlic chutney,veg,b,1 medium dosa + 1 cup,3.21,19.34,27.05,1.85,0,235.85,327.11,,1,1,5.0
South Indian,ragi dosa + tamarind chutney,veg,b,1 medium dosa + 1 tbsp,2.05,19.45,7.8,0.99,0,97.85,153.56,,1,1,4.0
South Indian,ragi dosa + dahi,veg,b,1 medium dosa + 5.3 oz container,15.45,20.55,15.27,0.74,0,230.0,280.28999999999996,,1,1,4.0
South Indian,onion dosa + sambar,veg,b,1 medium dosa + 1 bowl (2 cups),18.74,87.33,5.24,16.45,0,656.44,450.76,,1,1,2.0
South Indian,onion dosa + coconut chutneys,veg,b,1 medium dosa + 2 tbsp,5.890000000000001,39.42,8.28,3.5,0,187.64,250.92000000000002,,1,1,5.0
South Indian,onion dosa + onion chutney,veg,b,1 medium dosa + 2 tbsp,4.99,36.67,6.34,2.18,0,185.04,221.83,,1,1,5.0
South Indian,onion dosa + tomato chutney,veg,b,1 medium dosa + 1 tbsp,4.95,42.18,4.03,2.2800000000000002,0,196.44,224.64000000000001,,1,1,5.0
