age,gender,height,weight,bmi,bmr,activity_level,total_daily_expenditure,carbs,protein,fat
71,0,1.62,75.0,28.58,1335.564,1.55,2070.1242,931.55589,621.03726,517.53105
66,1,1.67,75.7,27.14,1529.9259,1.725,2639.122178,1451.517198,527.8244355,659.7805444
58,1,1.67,60.0,21.51,1364.929,1.2,1637.9148,737.06166,491.37444,409.4787
77,1,1.7,72.5,25.09,1439.1155,1.55,2230.629025,1003.783061,669.1887075,557.6572563
71,0,1.62,72.9,27.78,1316.1453,1.55,2040.025215,918.0113468,612.0075645,510.0063038
37,0,1.7,88.0,30.39,1628.33664,1.2,1954.003968,879.3017856,586.2011904,488.500992
44,0,1.7,77.8,26.86,1503.70724,1.55,2330.746222,1048.8358,699.2238666,582.6865555
63,0,1.63,84.0,31.79,1455.16188,1.2,1746.194256,785.7874152,523.8582768,436.548564
63,0,1.63,83.0,31.41,1445.91488,1.2,1735.097856,780.7940352,520.5293568,433.774464
63,0,1.63,84.0,31.79,1455.16188,1.55,2255.500914,1014.975411,676.6502742,563.8752285
57,0,1.63,45.0,17.03,1120.50888,1.55,1736.788764,781.5549438,521.0366292,434.197191
57,0,1.63,45.0,17.03,1120.50888,1.725,1932.877818,1063.0828,386.5755636,483.2194545
63,1,1.55,62.0,25.83,1305.51206,1.55,2023.543693,910.5946618,607.0631079,505.8859232
71,1,1.68,65.0,23.13,1361.31436,1.55,2110.037258,949.5167661,633.0111774,527.5093145
72,0,1.68,78.7,28.0,1382.92062,1.2,1659.504744,746.7771348,497.8514232,414.876186
44,1,1.75,75.0,24.42,1684.86174,1.725,2906.386502,1598.512576,581.2773003,726.5966254
47,0,1.57,72.0,29.03,1397.74004,1.2,1677.288048,754.7796216,503.1864144,419.322012
34,1,1.7,70.0,24.17,1650.16782,1.55,2557.760121,1150.992054,767.3280363,639.4400303
42,1,1.8,78.0,23.98,1760.76566,1.55,2729.186773,1228.134048,818.7560319,682.2966933
44,1,1.68,66.0,23.48,1527.72036,1.55,2367.966558,1065.584951,710.3899674,591.9916395
58,1,1.85,75.0,21.81,1654.28158,1.725,2853.635726,1569.499649,570.7271451,713.4089314
