Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
chattisgarh plains zone,Bafauri,,1 piece,1.5,4.8,0.4,1.2,20,29
chattisgarh plains zone,Muthia,,1 piece,2.2,6.6,2.0,1.4,20,53
chattisgarh plains zone,Rakhia Badi,,1 piece,0.2,0.4,0.0,0.1,3,2
chattisgarh plains zone,khurmi,,1 piece,0.7,9.8,2.3,0.7,20,62
chattisgarh plains zone,jalebi,,1 piece,0.5,7.6,3.7,0.2,25,66
chattisgarh plains zone,chousela,,1 piece,1.5,15.0,7.0,0.9,50,128
chattisgarh plains zone,Dubki Kadhi,,1 cup,15.0,41.0,6.5,8.8,250,278
chattisgarh plains zone,Bhajia,,1 piece,1.3,3.5,2.7,0.8,15,44
chattisgarh plains zone,Kanda Poha,,1 cup,3.6,37.4,6.5,1.8,166,221
chattisgarh plains zone,Rikwach,,1 piece,2.5,3.1,7.0,1.7,25,66
chattisgarh plains zone,surti khaja,,1 piece,1.3,19.0,7.0,0.4,40,145
