Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Coastal andhra,Pesarattu,,1 piece,6.2,14.6,3.7,4.3,60,116
Coastal andhra,Gongura Mamsam:,,1 cup,28.0,10.0,25.0,3.8,250,378
Coastal andhra,Ulavacharu,,1 cup,7.4,21.0,3.4,4.6,250,154
Coastal andhra,Gutti Vankaya Kura,,1 cup,5.0,13.7,12.6,6.4,250,184
Coastal andhra,andhra kodi biryani,,1 bowl,21.3,40.0,5.0,2.0,289,283
Coastal andhra,pulihora,,1 bowl,8.7,66.0,10.7,3.0,289,391
Coastal andhra,Bommidayila Pulusu:,,1 cup,24.0,8.0,16.0,1.8,250,274
Coastal andhra,avikaya rice,,1 bowl,6.2,58.0,13.0,2.7,289,373
Coastal andhra,Dondakaya Fry,,1 cup,2.7,6.0,16.7,5.6,166,185
Coastal andhra,Panasa Puttu Koora,,1 bowl,6.6,61.0,10.0,5.0,350,337
