Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Coastal Karnataka,mangalore buns,1 bun,2.60,23.5,4.9,1.0,15.40,50,150
Coastal Karnataka,neer dosa,1 dosa,1.40,14.6,1.6,0.3,3.53,70,79
Coastal Karnataka,chicken ghee roast,1 bowl,48.90,8.4,12.8,1.4,114.00,233,343
Coastal Karnataka,meen gassi,1 bowl,36.00,10.3,18.1,2.3,54.00,350,341
Coastal Karnataka,prawn gassi,1 bowl,36.10,22.5,18.5,8.8,200.00,350,390
Coastal Karnataka,crab sukka,1 bowl,27.30,8.7,9.5,2.7,100.00,233,234
Coastal Karnataka,sannas,1 rice cake,1.60,15.0,0.6,0.2,3.20,50,72
Coastal Karnataka,pathrode,1 piece,1.70,6.8,3.0,1.7,19.81,30,60
Coastal Karnataka,pomfret tawa fry,1 piece,11.30,9.4,8.1,0.7,16.46,80,155
Coastal Karnataka,goli baje,1 piece,1.10,6.5,1.7,0.3,14.17,20,46
Coastal Karnataka,squid garlic butter,1 bowl,10.09,5.5,10.7,0.6,39.00,100,162
Coastal Karnataka,bangude pulu munchi,1 bowl,45.40,9.0,9.0,1.6,107.00,337,293
