Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
central gujrat,Khichu,,1 cup,4.0,49.0,15.0,2.0,216,350
central gujrat,sev usal,,1 bowl,6.7,22.5,6.0,7.7,350,168
central gujrat,Pav Bhaji,,1 serve,8.3,61.3,11.7,3.3,240,383
central gujrat,farsan,,1 serve,4.0,11.4,11.5,3.0,28,164
central gujrat,Batata Vada,,1 piece,1.8,14.4,9.4,1.4,80,150
central gujrat,Undhiyu,,1 cup,11.2,31.2,24.4,10.7,216,387
central gujrat,Gota,,1 piece,1.5,4.3,3.3,1.0,20,53
central gujrat,Chorafali,,1 piece,0.5,1.7,1.0,0.3,5,18
central gujrat,Shrikhand,,1 cup,8.4,82.0,14.0,0.1,216,478
central gujrat,,,,,,,,,
