Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),Food Allergies
South Karnataka,ragi mudde,2 balls,4.3,42.8,0.8,6.8,212.83,300,195,
South Karnataka,ragi roti,1 roti,2.0,19.2,0.4,3.1,92.14,40,87,
South Karnataka,benne dosa,1 dosa,2.9,19.7,2.5,0.9,5.95,60,113,
South Karnataka,akki roti,1 roti,2.2,26.7,4.9,1.4,14.48,80,162,
South Karnataka,bsi bele bath,1 cup,7.6,30.8,8.9,5.0,37.36,206,233,
South Karnataka,vangi bath,1 cup,5.0,20.6,11.0,7.6,120.22,166,197,
South Karnataka,kesari bhath,1/2 cup (katori),2.8,32.5,6.3,1.0,11.34,130,195,
South Karnataka,coorgi pandi curry,1 cup,21.1,4.5,28.4,1.6,46.13,216,362,
South Karnataka,kodava kuutu curry,1 cup,7.3,35.1,12.5,13.8,82.56,250,279,
South Karnataka,kadambuttu ,1 piece,1.4,13.0,1.4,0.6,4.66,40,70,
South Karnataka,sambar,1 cup,9.2,27.0,5.0,6.1,58.14,250,189,
South Karnataka,medu vadda ,1 vada,5.8,14.3,8.2,2.9,16.22,60,154,
South Karnataka,Besan utappam,1 uttapam,5.3,15.9,6.6,3.3,25.29,123,143,
South Karnataka,curd rice,1 cup,5.8,26.3,9.2,0.7,166.51,216,211,
South Karnataka,koli saaru,1 cup,27.1,9.1,11.6,3.0,91.83,250,246,
South Karnataka,Mysore pak,11 piece,2.3,25.9,14.6,1.1,4.71,50,242,
South Karnataka,Menthe soppu huli,1 cup,8.7,23.6,4.0,5.3,115.32,250,164,
South Karnataka,Balekai palya,1 cup,3.3,33.8,12.1,5.4,28.76,166,245,
South Karnataka,Chitranna,1 cup ,6.2,43.6,5.1,1.9,23.30,206,244,
South Karnataka,Obbattu (Holige),1 poli,4.9,24.2,10.4,1.7,29.41,50,204,
South Karnataka,Saagu,1 cup,4.0,20.8,9.4,5.6,56.15,216,181,
South Karnataka,Kosambari,1 cup,8.4,24.0,6.0,5.3,35.78,166,181,
South Karnataka,Uppittu (Upma),1 cup,5.2,34.3,3.0,2.5,32.46,216,184,
South Karnataka,Kayi Holige,1 poli,3.7,36.0,10.4,4.5,28.76,75,252,
South Karnataka,Gojju,1 cup ,1.0,23.6,4.5,1.0,40.66,250,136,
South Karnataka,Shavige Bath,1 cup ,4.2,33.4,3.9,4.5,30.38,166,184,
South Karnataka,Huli,1 cup,17.5,54.1,11.6,13.6,118.26,350,386,
South Karnataka,Nuchinunde,1 unde ,3.6,9.2,0.9,1.7,11.50,50,59,
South Karnataka,Thili Saaru,1 cup ,2.5,9.6,1.3,1.7,33.04,250,60,
South Karnataka,Haalu Payasa (Kheer),1 cup,12.4,75.1,18.9,0.7,365.22,250,508,
South Karnataka,Kadlekalu Usli,1 cup,9.2,31.8,10.7,14.7,88.61,166,260,
South Karnataka,Majjige Huli,1 cup,3.9,8.7,9.3,4.4,121.80,250,133,
South Karnataka,Badanekai Yennegai,1 cup,5.1,13.8,12.6,6.4,66.88,250,184,
