Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
north kerala,Thalassery Biriyani,1 cup,12.6,29.5,10.7,1.4,41.00,206,269
north kerala,Kallummakkaya (Mussels) Curry,1 bowl,11.2,10.2,16.0,3.6,379.00,200,218
north kerala,pathiri,1 piece,0.7,9.4,0.8,0.3,1.73,30,49
north kerala,Arikkadukka,1 piece,3.6,14.3,6.9,1.6,15.31,50,135
north kerala,unnakaya,1 piece,1.1,13.2,12.1,2.0,4.48,50,163
north kerala,malabar parotta,1 piece,4.9,34.9,14.9,1.1,34.21,80,295
north kerala,Kozhi Pidi,1 cup,19.2,27.3,14.3,4.6,39.00,216,318
north kerala,Chatti Pathiri,1 slice,18.7,17.7,10.1,1.3,67.00,160,238
north kerala,Fish Mango Curry,1 cup,28.0,15.2,8.0,0.9,71.00,250,242
north kerala,Kadukka (Mussels) Fry,1 cup,19.0,3.0,11.4,0.5,775.00,166,191
north kerala,Kozhikode Biryani,1 cup,13.3,29.4,11.4,1.0,60.60,206,277
north kerala,Kannur Meen Curry,1 bowl,19.5,5.9,8.6,2.0,58.19,150,181
north kerala,Payyoli Chicken Fry,1 cup,29.8,2.8,18.2,1.5,34.81,166,302
north kerala,,,,,,,,,
north kerala,,,,,,,,,
