Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
central kerala,erissery,1 cup,8.0,19.6,16.2,4.2,50.00,250,256
central kerala,koottu curry,1 cup,7.3,35.1,12.5,13.8,82.56,250,279
central kerala,olan,1 cup,7.0,16.6,11.5,3.2,38.75,250,195
central kerala,yam theeyal,1 bowl,3.1,28.4,22.1,7.9,66.46,350,322
central kerala,thoran,1 cup,4.2,18.0,7.3,6.0,54.00,166,152
central kerala,vattayappam,1 piece,0.9,11.3,1.9,0.5,2.13,30,65
central kerala,meen peera,1 cup,16.8,9.0,17.4,3.0,60.00,166,256
central kerala,kappa vevichathu,1 cup,1.3,38.0,3.8,1.9,34.00,166,191
central kerala,Kozhi Pidi,1 cup,19.2,27.3,14.3,4.6,39.00,216,318
central kerala,palappam,1 piece,1.9,14.4,9.0,2.8,3.78,50,146
