Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Nagpur division,chicken saoji,1 bowl,58.0,5.6,6.5,1.6,79.00,291,313
Nagpur division,Tarri Poha,1 cup,6.9,45.0,12.0,7.6,75.25,250,313
Nagpur division,Masala Bhat,1 cup,4.3,35.5,6.7,2.2,23.67,206,219
Nagpur division,Nagpur Orange Barfi (sant bra,1 piece,2.5,15.6,3.6,0.1,115.90,30,103
Nagpur division,Sabudana poha,1 cup,4.0,46.0,7.6,2.5,30.33,166,267
Nagpur division,Tarri Pattice,1 piece,1.6,10.0,4.8,1.3,20.30,50,90
Nagpur division,Patodi Rassa,1 cup,8.2,24.5,11.8,5.2,76.50,250,236
Nagpur division,Sabudana vada ,1 piece,1.1,10.8,7.7,0.8,6.88,50,116
Nagpur division,Zunka Bhakri,1 piece,2.1,6.5,1.6,1.3,9.98,40,48
Nagpur division,Nagpuri Bhel,1 cup,5.1,27.0,8.9,2.9,31.87,93,207
Nagpur division,Bhakarwadi,1 serve,2.3,16.2,7.7,2.7,0.00,28,143
Nagpur division,Pithla Bhakri,1 cup,11.3,31.4,8.2,6.3,43.21,216,245
Nagpur division,Kharda,1 table spoon,1.4,1.5,2.6,0.5,9.60,14,32
Nagpur division,Anarsa,1 piece,1.4,18.1,3.7,0.2,6.95,30,111
Nagpur division,pani puri (golgappa),1 serve (6 puris),5.1,43.1,6.5,3.4,56.30,237,249
Nagpur division,Batata Bhaji,1 cup,2.6,31.4,6.8,2.8,30.00,166,196
Nagpur division,Jalebi,1 large,1.1,15.3,7.4,0.3,13.40,50,131
Nagpur division,Kadhi Pakoda,1 cup,7.4,18.7,16.6,3.8,114.00,250,253
Nagpur division,Kullhad Chai,,,,,,,,
