Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
amaravati division,paneer varhadi curry,1 bowl,19.0,17.6,26.0,5.8,278.90,350,376
amaravati division,Dal Khichdi,1 cup,5.3,18.1,3.3,4.2,21.27,166,120
amaravati division,Patodi Rassa,1 cup ,8.2,24.5,11.8,5.2,76.50,250,236
amaravati division,Shev Bhaji,1 cup,4.1,14.3,18.8,3.9,43.43,216,242
amaravati division,Puran Poli,1 piece,0.6,64.0,2.6,7.0,55.00,166,318
amaravati division,Shengdana Chatni,1 tablespoon ,2.0,1.8,3.6,0.9,11.00,9,44
amaravati division,Danyachi Amti,1 cup,10.9,10.9,35.8,8.4,48.83,250,394
amaravati division,Sabudana Thalipeeth,1 thalipeeth,2.6,28.7,8.0,1.6,14.24,80,197
amaravati division,Varhadi Alu Vadi,1 piece,1.2,7.4,5.0,0.9,26.70,25,79
amaravati division,Bhalla,1 piece ,5.8,14.3,8.2,2.9,16.22,60,154
amaravati division,Kharda,1 table spoon,1.4,1.5,2.6,0.5,9.60,14,32
amaravati division,Anarsa,1 piece,1.4,18.1,3.7,0.2,6.95,30,111
amaravati division,Zunka Bhakri,1 piece,2.1,6.5,1.6,1.3,9.98,40,48
amaravati division,taak,1 glass,2.3,2.3,3.0,0.0,117.80,250,45
amaravati division,Chakli,1 chakli,1.0,6.3,2.6,0.1,3.81,15,51
