Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
"Northern Hills, Chattisgarh",dahi bada,,1 serve,7.9,18.0,10.7,3.5,147,195
"Northern Hills, Chattisgarh",pej,,1 cup,0.6,4.3,0.3,0.2,250,35
"Northern Hills, Chattisgarh",khichdi,,1 cup,7.6,40.3,2.0,2.0,250,208
"Northern Hills, Chattisgarh",Myna Muthia,,1 piece,2.0,6.6,2.0,1.4,20,53
"Northern Hills, Chattisgarh",Rikwach,,1 piece,2.5,7.0,3.1,1.7,25,66
"Northern Hills, Chattisgarh",Tikhur Halwa,,1 katori,0.8,60.0,4.3,0.9,150,282
"Northern Hills, Chattisgarh",Wild Mushroom Curry,,1 cup,5.0,11.6,7.5,3.5,250,124
"Northern Hills, Chattisgarh",Bamboo Shoot Fry,,1 cup,6.2,12.3,9.4,3.2,166,155
"Northern Hills, Chattisgarh",Ragi Laddu,,1 piece,1.2,21.7,3.5,1.8,30,123
"Northern Hills, Chattisgarh",Pakhala,,1 cup,2.2,15.7,2.6,0.5,250,95
"Northern Hills, Chattisgarh",angakar roti,,1 piece,3.4,38.4,9.4,1.4,100,255
"Northern Hills, Chattisgarh",Gulgula,,1 piece,0.5,6.5,2.7,0.3,20,52
