Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
marwar,Dal Baati Churma,,2 bati + 1/2 cup dal,15.3,61.7,14.8,11.2,230,440
marwar,Gatte Ki Sabzi,,1 bowl,10.6,29.8,20.2,6.5,350,343
marwar,Ker Sangri,,1 cup,7.2,18.7,15.3,8.4,166,261
marwar,Bajra Roti,,1 roti,3.0,17.2,1.3,2.2,40,91
marwar,Laal Maas,,1 cup,27.0,5.9,24.5,1.8,250,348
marwar,Panchmel Dal,,1 cup,13.6,36.4,3.6,9.8,250,230
marwar,Raj Kachori,,1 piece,6.7,29.6,27.0,3.4,120,388
marwar,Rabri,,1 cup ,15.0,90.2,22.0,2.3,250,600
marwar,Aam Ki Launji,,1 tablespoon ,0.1,3.7,0.7,0.2,15,20
marwar,Kadhi Pakora,,1 cup,7.4,18.7,16.6,3.8,250,253
marwar,Kalmi Vada,,1 vada,3.0,9.4,6.0,2.3,40,102
marwar,Haldi Ki Sabzi,,1 katori,3.8,26.0,6.4,6.7,100,177
marwar,Mirchi Tipore,,1 piece,0.6,1.3,1.6,0.7,10,21
marwar,Besan Chakki,,1 chakki,1.6,14.6,7.1,0.8,30,127
marwar,Malai Ghevar,,1 ghevar,2.1,15.7,15.0,0.3,60,205
marwar,Methi Bajra Poori,,1 puri,2.6,14.6,6.9,2.2,40,130
marwar,Govind Gatte,,1 cup,15.1,29.0,26.8,5.6,250,419
