Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Mewar,Dal Baati Churma,,2 bati + 1/2 cup dal,15.3,61.7,14.8,11.2,230,440
Mewar,Laal Maas,,1 cup,27.0,5.9,24.5,1.8,250,348
Mewar,gatte ki sabzi,,1 bowl,10.6,29.8,20.2,6.5,350,343
Mewar,Ker Sangri,,1 cup,7.2,18.7,15.3,8.4,166,261
Mewar,Govind Gatte,,1 cup,15.1,29.0,26.8,5.6,250,419
Mewar,Pyaaz ki Kachori,,1 katori,2.7,18.7,11.9,1.3,65,193
Mewar,Khasta Kachori,,1 katori,4.9,23.7,12.0,1.7,50,224
Mewar,Bajra Roti ,,1 roti,3.0,17.2,1.3,2.2,40,91
Mewar,Lasun Chutney,,1 tablespoon,1.1,5.2,0.2,1.1,15,25
Mewar,Mewari Paneer,,1 bowl,29.5,4.4,40.0,0.9,233,497
Mewar,Aam Ki Launji,,1 tablespoon ,0.1,3.7,0.7,0.2,15,20
Mewar,Masala Bati,,1 piece,3.1,14.1,3.6,2.9,50,100
Mewar,Papad ki Sabzi,,1 bowl,8.0,17.8,21.5,5.1,350,295
Mewar,Rabdi,,1 cup,15.0,90.2,22.0,2.3,250,600
Mewar,Haldi ki Sabzi,,1 katori,3.8,26.0,6.4,6.7,100,177
Mewar,Churma Ladoo,,1 ladoo,2.3,20.5,11.0,1.9,40,190
