Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
chola nadu ,Kathirikai Gothsu,1 cup,3.0,15.3,9.0,4.3,64.00,250,154
chola nadu,Kumbakonam Kadappa,1 bowl,11.0,48.0,11.3,9.0,123.00,350,331
chola nadu,Manaparai Murukku,1 piece,1.3,5.7,3.0,0.6,3.68,15,57
chola nadu,Thanjavur Thavala Adai,1 piece,6.6,30.0,7.9,2.8,40.00,100,215
chola nadu,Vathal Kuzhambu,1 bowl,3.7,37.0,1.7,6.5,155.00,350,170
chola nadu,Thiruvaiyaru Ashoka Halwa,1 bowl,19.2,138.0,46.0,8.5,50.00,350,1039
chola nadu,Pudukkottai Fish Curry,1 cup,28.6,14.0,8.7,4.2,542.00,250,246
chola nadu,Nagapattinam Nei Meen Fry*,1 fillet,80.0,0.0,7.9,0.0,122.00,396,416
chola nadu,Karuvadu Kuzhambu,1 cup,11.3,17.0,17.4,6.0,116.00,250,265
chola nadu,Karaikudi Meen Varuval,1 piece,14.5,2.0,5.2,0.4,7.82,80,111
chola nadu,Seeraga Samba Rice Biriyani,1 cup,4.0,35.0,7.1,2.8,32.00,206,223
chola nadu,Mayiladuthurai Mutton Soup,1 bowl,12.1,7.3,9.7,2.9,128.00,350,165
chola nadu,Koil Paniyaram*,1 piece,0.7,3.6,2.0,0.1,3.50,20,35
chola nadu,Ariyamangalam Atho,1 cup,5.5,33.0,17.5,3.1,44.00,166,306
