Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
thondai nadu,Kanchipuram Idli*,1 piece,2.9,14.3,1.1,1.3,9.18,50,78
thondai nadu,Vadacurry,1 cup,8.6,27.0,21.5,7.5,39.00,250,326
thondai nadu,Chettinad Pepper Chicken,1 bowl,42.6,8.8,16.0,5.0,90.00,291,347
thondai nadu,Puliyodarai,1 bowl,8.7,66.0,10.7,3.1,62.00,290,391
thondai nadu,Thayir Vadai,1 piece,8.3,18.3,12.0,3.5,120.00,134,214
thondai nadu,bsi bele bath,1 cup,7.6,30.8,8.9,5.0,37.36,206,233
thondai nadu,pongal,1 cup,6.0,39.0,5.0,1.8,27.00,216,223
thondai nadu,Kothamalli Thogayal,1 tablespon,0.4,1.2,2.7,1.0,6.00,15,30
thondai nadu,madras chicken curry,1 bowl,40.0,9.8,10.5,2.2,70.00,350,283
thondai nadu,rasam,1 cup,2.5,9.6,1.3,1.7,33.00,250,60
thondai nadu,Arcot Biryani,1 cup,4.2,33.8,9.4,2.4,62.00,206,238
thondai nadu,Pallipalayam Chicken*,1 cup,20.5,9.8,22.2,3.6,28.57,250,316
thondai nadu,murukku,1 piece,1.3,5.0,3.0,0.6,3.68,15,57
thondai nadu,Ellu Sadam,1 cup,11.4,48.0,14.5,6.0,218.00,206,366
thondai nadu,Athirasam,1 piece,1.6,18.0,4.0,0.5,17.28,30,113
