Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Uttar Pradesh Braj,Pedha,,1 peda,4.1,14.1,5.2,0.2,30,118
Uttar Pradesh Braj,Aloo-Kachori,,1 kachori,3.1,24.0,17.0,1.5,80,263
Uttar Pradesh Braj,Paneer Jalebi,,1 jalebi,0.9,17.3,7.9,0.0,40,142
Uttar Pradesh Braj,Lassi,,1 cup,6.4,26.5,8.2,0.1,250,202
Uttar Pradesh Braj,Sabzi-Poori,,3 pooris + 1 katori of sabzi,9.6,58.6,16.0,8.7,175,416
Uttar Pradesh Braj,Khasta Kachori,,1 kachori,4.9,23.7,12.0,1.7,50,224
Uttar Pradesh Braj,rabri,,1 cup,15.0,90.2,22.0,2.3,250,600
Uttar Pradesh Braj,Chole Bhature,,2 bhature + 1 katori chole,8.9,46.3,24.8,6.9,250,445
Uttar Pradesh Braj,Gujia,,1 gujia,3.0,16.1,11.6,1.0,40,181
Uttar Pradesh Braj,Malpua,,1 malpua,1.2,14.0,4.4,0.3,40,100
