Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
South Indian,dosa,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,dosai,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,dosas,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,egg dosa,,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,egg dosas,,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,ragi dosa,,1 medium dosa,1.95,14.58,7.77,0.74,0,80.00,134.79
South Indian,ragi dosas,,1 medium dosa,1.95,14.58,7.77,0.74,0,80.00,134.79
South Indian,onion dosa,,1 medium dosa,4.62,34.50,3.90,1.83,0,150.44,190.96
South Indian,wheat dosa,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,mutta dosa,,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,carrot dosa,,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53
South Indian,dosa batter,,1 cup,3.88,29.20,0.26,0.86,0,229.93,137.07
South Indian,butter dosa,,1 medium dosa,4.01,29.21,11.77,0.86,0,107.50,238.88
South Indian,onion dosas,,1 medium dosa,4.62,34.50,3.90,1.83,0,150.44,190.96
South Indian,masala dosa,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,mutta dosai,,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15
South Indian,wheat dosas,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,masala dosas,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
South Indian,carrot and ginger dosa,,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53
South Indian,idli,,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idlis,,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idli vada,,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01
South Indian,idli sambar,,1 cup sambar with 3 idli,12.00,61.27,1.99,8.93,0,368.54,303.95
South Indian,sambar,,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,sambar rice,,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar soup,,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,rice sambar,,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar sadam,,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92
South Indian,sambar powder,,1 tsp,0.29,1.12,0.28,1.06,0,2.00,6.50
South Indian,lentil sambar,,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,homemade sambar,,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,sambar homemade,,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80
South Indian,vada,,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,vadas,,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88
South Indian,vada pao,,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
