Cuisines,Food item,type,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI
South Indian,dosa,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,53
South Indian,dosai,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,53
South Indian,dosas,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,53
South Indian,egg dosa,egg,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15,59
South Indian,ragi dosa,veg,1 medium dosa,1.95,14.58,7.77,0.74,0,80.00,134.79,42
South Indian,onion dosa,veg,1 medium dosa,4.62,34.50,3.90,1.83,0,150.44,190.96,48
South Indian,wheat dosa,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,55
South Indian,mutta dosa,egg,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15,59
South Indian,carrot dosa,veg,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53,50
South Indian,butter dosa,veg,1 medium dosa,4.01,29.21,11.77,0.86,0,107.50,238.88,57
South Indian,masala dosa,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,55
South Indian,mutta dosai,egg,1 dosa,9.01,20.68,9.57,1.51,0,232.26,205.15,59
South Indian,wheat dosas,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,55
South Indian,masala dosas,veg,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67,55
South Indian,carrot and ginger dosa,veg,1 Serving,4.55,36.36,14.43,3.29,0,330.68,291.53,50
South Indian,idli,veg,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01,42
South Indian,idli vada,veg,1 idli,1.65,11.62,0.44,0.54,0,38.50,58.01,42
South Indian,idli sambar,veg,1 cup sambar with 3 idli,12.00,61.27,1.99,8.93,0,368.54,303.95,59
South Indian,sambar,veg,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80,41
South Indian,sambar rice,veg,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92,46
South Indian,sambar soup,veg,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80,41
South Indian,rice sambar,veg,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92,46
South Indian,sambar sadam,veg,1 cup,6.53,38.54,4.50,5.45,0,207.00,213.92,46
South Indian,lentil sambar,veg,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80,41
South Indian,homemade sambar,veg,1 bowl (2 cups),14.12,52.83,1.34,14.62,0,506.00,259.80,41
South Indian,vada,veg,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88,46
South Indian,vada pav,veg,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94,55
South Indian,dahi vada,veg,1 piece with sauce,3.78,7.79,5.01,2.41,0,70.90,88.66,33
South Indian,medu vada,veg,1 piece,4.36,11.35,8.39,2.02,0,70.86,134.88,46
