Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Malnad,akki roti,1 roti,2.2,26.7,4.9,1.4,14.48,80,162
Malnad,kadubu,1 kadubu,1.4,16.9,0.7,0.7,9.30,45,81
Malnad,Pathrode,1 Pathrode,1.7,6.8,3.0,1.7,19.81,30,60
Malnad,Bamboo Shoot Curry,1 katori,3.4,10.1,8.3,4.1,38.09,150,125
Malnad,Koli Curry,1 cup,26.1,8.7,13.8,3.0,64.13,250,267
Malnad,Nellikai Chitranna,1 bowl,4.4,43.4,3.2,2.4,43.75,220,219
Malnad,Mushroom Curry,1 cup,5.1,11.6,7.5,3.6,41.11,250,124
Malnad,Tuppa Dosa,1 dosa,3.4,21.3,9.0,1.2,7.20,80,180
Malnad,Menasinakai Bajji,1 bajji,2.4,7.1,9.9,1.5,18.79,80,127
Malnad,Shavige Uppittu,1 cup,4.2,33.4,3.9,4.5,30.38,166,184
Malnad,Kayi Holige,1 poli,3.7,36.0,10.4,4.5,28.76,75,252
Malnad,Puli Koddel,1 cup,1.9,16.1,19.3,5.3,79.39,250,244
Malnad,ragi mudde,2 balls,4.3,42.8,0.8,6.8,212.83,300,195
Malnad,kesari bhath,1/2 cup (katori),2.8,32.5,6.3,1.0,11.34,130,195
Malnad,Kokum ,1 cup,1.1,30.9,0.2,3.9,10.13,216,130
Malnad,Ellu Bella,1 table spoon,1.4,3.3,4.5,1.1,40.56,10,57
Malnad,Pumpkin Curry,1 cup,3.1,16.7,7.7,2.8,52.10,250,146
Malnad,neer dosa,1 dosa,1.4,14.6,1.6,0.3,3.53,70,79
Malnad,Maddur vada,1 vada,1.5,11.6,5.2,0.7,6.25,28,100
