Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),session consumed
North Karnataka,jolada rotti,1 roti,2.0,19.5,0.8,1.7,3.83,50,91,n
North Karnataka,heerekai ennegayi,1 piece,0.2,0.8,1.5,0.5,5.68,20,18,n
North Karnataka,shenga holige,1 poli,4.9,24.2,10.4,1.7,29.41,50,204,n
North Karnataka,sajje rotti,1 roti,3.7,20.9,6.8,3.1,11.94,50,158,n
North Karnataka,mirchi bajji,1 bajji,2.4,7.1,9.9,1.5,18.79,80,127,n
North Karnataka,badanekai yennegai,1 cup,5.1,13.8,12.6,6.4,66.88,250,184,n
North Karnataka,kadubu,1 kadubu,1.4,16.9,0.7,0.7,9.30,45,81,n
North Karnataka,mensinkai hasi huli,1 cup,6.9,13.6,16.4,3.5,212.00,250,227,n
North Karnataka,uppittu,1 cup,5.2,34.3,3.0,2.5,32.46,216,184,n
North Karnataka,jhunka,1 cup,12.0,34.6,8.5,6.3,51.10,166,264,n
North Karnataka,kempu harive soppuna palya,1 cup,4.7,10.1,9.9,1.2,309.00,166,139,
