Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
northern india odisha,chhena poda,,1 piece,9.4,16.4,15.3,0.4,80,240
northern india odisha,Kakharu Phula Bhaja,,1 piece,0.6,5.0,2.0,0.3,15,41
northern india odisha,macha mahura,,1 cup,17.2,31.3,11.0,4.8,250,288
northern india odisha,dalma,,1 cup,9.0,29.0,5.7,5.6,250,198
northern india odisha,arisha pitha,,1 piece,1.4,24.1,8.3,0.6,50,177
northern india odisha,badi chura,,1 bowl,13.0,33.0,30.0,7.5,233,439
northern india odisha,janhi posta,,1 cup,2.0,11.5,1.0,4.7,250,63
northern india odisha,santula,,1 bowl,4.7,22.7,16.0,6.0,303,247
northern india odisha,pakhala bhata,,1 bowl,3.9,19.5,6.4,0.9,350,151
northern india odisha,aloo patola rasa,,1 bowl,3.8,26.8,13.3,3.4,350,239
northern india odisha,Bamboo Shoot Fry,,1 cup,6.2,9.4,12.3,3.2,166,155
