Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
pandya naadu,Madurai Jigarthanda,1 glass,9.6,34.6,16.3,0.0,344.00,250.0,319
pandya naadu,Chettinad Pepper Chicken,1 bowl,42.6,8.8,16.0,5.0,90.00,291.0,347
pandya naadu,Tuticorin Macaroon,1 piece,3.2,10.9,5.5,0.3,4.00,30.0,105
pandya naadu,ennai parotta,1 piece,4.9,34.9,14.9,1.1,34.21,80.0,295
pandya naadu,Nagercoil Mutton Kuzhambu*,1 cup,3.7,16.5,20.0,7.4,61.00,250.0,255
pandya naadu,Tirunelveli Halwa,1 cup,2.1,80.0,15.0,1.2,9.62,216.0,452
pandya naadu,Pazham Pori with Nendram Pazham,1 piece,0.7,7.9,3.9,0.4,3.63,30.0,69
pandya naadu,Alagar Kovil Dosai,1 piece,4.6,24.1,4.7,3.0,26.70,80.0,157
pandya naadu,Palayamkottai Mutton Biriyani*,1 bowl,16.6,41.3,22.5,1.4,181.66,289.0,437
pandya naadu,Srivilliputhur Palkova,1 cup,24.2,63.6,42.8,0.0,1158.00,166.0,732
pandya naadu,Meen Kuzhambu,1 cup,22.8,11.0,23.0,3.6,51.11,250.0,280
pandya naadu,Chettinadu Idiyappam with Coconut Milk,1 piece,1.0,15.7,0.0,0.5,2.94,50.0,77
pandya naadu,Kovilpatti Kadalai Mitta,1 piece,1.0,5.0,2.0,0.3,7.00,8.3,40
pandya naadu,Madurai Mutton Balls,1 piece,4.0,0.5,9.0,0.1,2.39,30.0,100
