Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
seven sisters,thupka,,1 cup,14.7,16.4,13.3,1.6,250,242
seven sisters,momos,,1 piece,1.3,8.4,1.1,0.8,36,49
seven sisters,apong,,1 piece,2.5,24.2,4.6,1.4,80,146
seven sisters,masor tenga,,1 bowl,13.0,7.8,19.3,4.0,350,260
seven sisters,eromba,,1 bowl,11.0,30.0,4.7,4.0,350,203
seven sisters,jadoh,,1 bowl,12.4,35.3,5.5,0.6,233,240
seven sisters,muya awandru,,1 bowl,5.0,14.0,0.7,2.7,350,82
seven sisters,pitha,,1 piece,2.0,10.9,4.6,1.2,30,93
seven sisters,dohneihong,,1 bowl,26.3,11.0,6.9,2.6,350,210
seven sisters,chack hao kheer,,1 cup,10.0,100.0,11.0,2.1,250,529
seven sisters,gulho,,1 bowl,11.2,48.4,8.0,3.8,350,312
