Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
southern interior odisha,mandia jau,,1 cup,4.8,22.0,5.0,1.7,250,150
southern interior odisha,dalma,,1 cup,9.0,29.0,5.7,5.6,250,198
southern interior odisha,Kakharu Phula Bhaja,,1 piece,0.6,5.0,2.0,0.3,15,41
southern interior odisha,Dahi Baigana,,1 cup,4.1,16.0,9.0,5.3,250,194
southern interior odisha,podo pitha,,1 piece,2.5,19.3,2.5,1.3,55,108
southern interior odisha,arisa pitha,,1 piece,1.4,24.0,8.3,0.6,50,177
southern interior odisha,macha mahura,,1 cup,17.2,31.3,10.9,5.0,250,288
southern interior odisha,ghanta tarkari,,1 cup,7.0,30.6,5.5,6.0,250,195
southern interior odisha,enduri pitha,,1 piece,5.5,31.0,3.7,2.7,80,180
southern interior odisha,badi chura,,1 bowl,13.0,33.0,30.0,7.5,233,439
