Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
rayalaseema,Rayalaseema Chicken Curry:,,1 cup,35.4,14.1,10.1,4.8,250,281
rayalaseema,Ragi Sangati,,1 piece,2.2,21.4,0.4,3.4,150,97
rayalaseema,Gutti Vankaya Koora,,1 cup,5.4,27.5,26.2,7.5,166,362
rayalaseema,Royyala Iguru:,,1 bowl,35.0,13.7,11.8,2.5,303,297
rayalaseema,Mutton Korma,,1 cup,23.2,7.3,22.0,1.9,250,320
rayalaseema,Ulavacharu,,1 cup,7.4,21.0,3.4,4.6,250,154
rayalaseema,kandi podi,,1 tablespoon,3.3,8.7,0.5,1.6,15,52
rayalaseema,pachi pulusu,,1 cup,0.7,5.0,4.0,1.0,250,58
rayalaseema,jonna rotte,,1 piece,2.0,19.4,0.8,1.7,50,91
rayalaseema,chepala pulusu,,1 cup,23.0,13.0,13.0,4.7,250,258
rayalaseema,allam pachadi,,1 tablespoon,0.5,5.0,1.1,0.6,15,31
