Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
telengana,Hyderabadi Biryani:,,1 bowl,25.6,46.2,4.6,0.9,289,328
telengana,sakinalu,,1 piece,0.7,3.5,2.5,0.6,10,39
telengana,haleem,,1 bowl,27.0,19.2,30.7,3.5,303,458
telengana,Bagara Baingan,,1 cup,6.0,15.5,22.7,7.3,250,283
telengana,pachi pulusu,,1 cup,0.7,5.0,4.0,1.0,250,58
telengana,Telangana Chepa Pulusu,,1 cup,23.0,13.3,12.8,4.7,250,258
telengana,Talakaya Kura,,1 cup,22.4,10.0,18.0,4.0,250,292
telengana,Palakura Pappu,,1 cup,10.3,25.6,6.0,4.6,250,197
telengana,pulihora,,1 bowl,8.7,66.0,10.7,3.0,289,391
telengana,kandi podi,,1 tablespoon,3.3,8.7,0.5,1.6,15,52
