Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
south kerala,Karimeen Pollichathu,1 piece,10.3,3.2,13.8,0.6,18.52,80,179
south kerala,Puttu and Kadala Curry,1 cup,14.4,124.1,23.0,17.5,95.57,450,771
south kerala,appam,1 piece,2.4,22.5,1.9,0.9,4.21,60,116
south kerala,cocunut stew,1 cup,7.3,25.4,16.7,6.9,61.92,250,269
south kerala,idiyappam,1 piece,1.2,15.7,0.8,0.5,2.94,50,77
south kerala,Pazham Pori,1 piece,0.7,7.9,3.9,0.4,3.63,30,69
south kerala,Nadan Kozhi Curry,1 cup,25.0,10.0,16.6,2.4,29.38,250,291
south kerala,Fish Moilee,1 bowl,29.8,16.2,3.7,4.7,68.92,350,449
south kerala,Kappa (Tapioca) with Meen Curry,1 bowl,11.3,42.9,6.9,3.6,50.91,350,271
south kerala,Kanava Thoran,1 cup,19.0,12.6,11.6,3.0,72.14,166,233
south kerala,Palada Pradhaman,1 cup,9.4,63.8,12.4,0.5,255.00,250,398
south kerala,avial,1 cup,3.2,20.0,10.9,6.5,80.00,250,190
south kerala,Vellayappam,1 piece,2.4,20.1,4.1,1.7,4.51,65,127
