Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
aurangabad division ,Naan Khaliya,1 bowl,33.6,17.9,50.9,3.6,377.25,350,664
aurangabad division,Pune Tambda Rassa,1 cup,21.5,10.7,23.0,3.1,71.13,250,351
aurangabad division,Mawa Jalebi,1 small,1.6,9.0,5.2,0.0,70.22,25,88
aurangabad division,Himayati Sheer Khurma,1 cup,17.6,72.7,28.0,2.4,469.87,250,602
aurangabad division,Khichda,1 bowl,24.4,58.0,11.5,10.9,74.45,350,431
aurangabad division ,Naan Qalia,1 bowl,33.6,17.9,50.9,3.6,377.25,350,664
aurangabad division,Shev Bhaji,1 cup,4.1,14.3,18.8,3.9,43.43,216,242
aurangabad division,Baingan Bharta,1 cup,3.1,12.1,7.0,5.2,56.57,216,121
aurangabad division,Pithla Bhakri,1 cup,11.3,31.4,8.2,6.3,43.21,216,245
aurangabad division,Mutton Paya Soup without oil,1 cup,9.8,7.2,2.7,3.3,63.34,250,93
aurangabad division ,Dal Khichdi,1 cup,5.3,18.1,3.3,4.2,21.27,166,120
aurangabad division,Baadam Pista Milk,1 glass,8.6,23.0,13.0,0.8,286.60,250,240
aurangabad division,Bharli Mirchi,1 piece,1.2,3.4,3.0,1.0,9.51,11,46
aurangabad division,Aurangabad Kebab Paratha,1 paratha,8.0,19.8,13.1,3.3,34.21,80,290
aurangabad division,Shahi Tukda,1 piece,5.1,23.0,7.6,0.7,158.40,80,177
