Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
konkan ,Sol Kadhi,1 cup,1.6,7.2,14.8,1.9,6.06,250,158
konkan,Amboli,1 amboli,4.0,20.9,3.2,1.5,8.83,60,128
konkan ,Modak,1 modak,1.3,19.4,5.7,1.9,10.51,50,135
konkan,Malvani Fish Curry,1 cup,21.1,8.3,14.6,3.3,119.71,250,248
konkan ,Phanasachi Bhaji,1 cup,2.4,23.6,7.8,2.6,37.78,166,165
konkan,Kombdi Vade,3 vade 1 kartori curry,26.2,43.6,25.3,6.5,81.95,270,508
konkan ,Solachi Kadhi,1 cup,1.6,7.2,14.8,1.9,6.06,250,158
konkan,Ukadiche Modak,1 modak,1.3,19.4,5.7,1.9,10.51,50,135
konkan ,Tandalachi Bhakri,1 bhakri,1.7,22.8,0.4,0.7,3.55,50,104
konkan,Bombil duck Fry,1 bombil,6.0,0.8,4.9,0.1,71.33,50,73
konkan ,Ambapoli,1 sqare,0.1,8.6,0.0,0.0,1.47,10,35
konkan,Valache Birdhe,1 cup,10.9,28.7,5.6,11.7,49.37,250,207
konkan ,Kaju Usal,1 cup,7.8,16.4,20.7,1.8,29.25,250,263
konkan,Tisryanche Suke,1 cup,19.0,8.1,10.2,1.5,59.42,166,205
konkan ,Poha Chivda,1 cup,3.1,21.9,3.9,0.7,12.58,35,133
konkan,Konkani coconut Curry,1 bowl,4.4,13.3,29.4,9.6,61.67,350,335
konkan ,Batata Song,1 cup,2.6,30.8,8.1,3.4,30.35,216,203
konkan,Shevayachi Kheer,1 cup,14.4,65.0,25.4,3.6,405.42,250,535
konkan ,Karanji,1 karanji,2.1,20.1,8.6,1.6,15.27,40,165
konkan,Gajbaje,1 cup,3.0,14.8,16.7,4.7,28.47,250,221
