Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Nashik Division,Khandeshi Mutton curry,1 bowl,24.7,12.5,27.5,3.1,242.89,350,395
Nashik Division,Misal Pav (Nashik Style),2 pavs,9.8,57.0,10.8,2.3,50.98,230,364
Nashik Division,Soya Chunks Bhaji,1 cup,14.1,18.3,6.9,6.5,108.54,250,190
Nashik Division,Thalipeeth (Nashik Style),1 thalipeeth,4.5,21.3,5.7,4.0,33.06,80,151
Nashik Division,Bharli Vangi,1 cup,4.8,14.7,17.6,6.8,51.94,216,230
Nashik Division,Sabudana Thalipeeth,1 thalipeeth,2.6,28.7,8.0,1.6,14.24,80,197
Nashik Division,Bhajani Chakli,1 chakli,1.0,6.3,2.6,0.1,3.81,15,51
Nashik Division,Zunka Bhakri,1 piece,2.1,6.5,1.6,1.3,9.98,40,48
Nashik Division,Nashik Kala Masoor,1 cup,13.2,33.5,3.1,9.5,72.01,250,213
Nashik Division,Tomato Saar,1 cup,1.8,6.4,7.4,3.7,30.03,250,100
Nashik Division,Danyachi Amti,1 cup,10.9,10.9,35.8,8.4,48.83,250,394
Nashik Division,Kombdi Vade (Nashik Style),3 vade 1 katori curry,26.2,43.6,25.3,6.5,81.95,270,508
Nashik Division,Papdi Bhaji,1 bowl,5.1,16.3,12.5,11.1,79.59,233,197
Nashik Division,Batatyacha Kees,1 bowl ,7.2,36.1,11.6,4.2,40.10,233,268
Nashik Division,Masale Bhaat,1 cup,4.3,35.5,6.7,2.2,23.67,206,219
Nashik Division,Bhadang Bhel,1 cup,3.2,13.2,9.6,1.3,16.54,31,147
