Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
pune Division,Mastani,1 glass,6.5,52.9,30.3,2.3,129.51,250,501
pune Division,Misal Pav (pune Style),,9.8,57.0,10.8,2.3,50.98,230,364
pune Division,Bhakarwadi,1 serve,2.3,16.2,7.7,2.7,-,28,143
pune Division,Pune's Special Poha,1 cup,3.8,40.1,6.0,1.7,18.93,166,228
pune Division,Bakar Bhaji,1 cup,4..5,14.7,13.6,3.6,139.17,250,197
pune Division,Sabudana Khichdi,1 cup,4,46.1,7.6,2.5,30.33,166,267
pune Division,Puran Poli,1 poli,3.8,29.0,4.5,2.2,20.16,75,172
pune Division,Batata Vada,1 wada,1.8,14.4,9.4,1.4,14.96,80,149
pune Division,Thalipeeth (pune Style),1 thalipeeth,4.5,21.3,5.7,4.0,33.06,80,151
pune Division,Shrewsbury Biscuits,1 biscuit,0.8,7.1,2.2,0.2,2.96,13,51
pune Division,Kaanda Bhajiya,1 pakoda,0.7,2.8,3.0,0.4,2.88,15,41
pune Division,Puneri Misal,1 cup,7.7,31.1,13.5,2.7,34.21,250,269
pune Division,Pohe Chivda,1 cup,3.1,21.9,3.9,0.7,12.58,35,133
pune Division,Tambdi Bhaji,1 cup,5.4,11.2,5.6,5.6,493.41,166,116
pune Division,Dadpe Pohe,1 cup,5.3,40.1,9.0,3.9,21.32,93,262
pune Division,Pune Tambda Rassa,1 cup,21.5,10.7,23.0,3.1,71.13,250,351
