Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
South coastal odisha,chingudi malai curry,,1 bowl,34.0,38.0,13.0,4.0,350,508
South coastal odisha,kanika rice,,1 cup,5.2,70.0,8.0,2.5,290,375
South coastal odisha,dalma,,1 cup,9.0,29.0,5.7,5.6,250,198
South coastal odisha,pakhala bhata,,1 bowl,3.9,19.5,6.4,0.9,350,151
South coastal odisha,mudhi,,1 cup,1.0,10.3,0.0,0.2,14,46
South coastal odisha,badi chura,,1 bowl,13.0,33.0,30.0,7.5,233,439
South coastal odisha,khichdi,,1 cup,7.6,40.3,2.0,2.0,250,208
South coastal odisha,ambila,,1 bowl,3.5,17.4,7.8,3.6,350,152
South coastal odisha,prawn balchao,,1 tablespoon,1.5,2.0,1.2,0.1,15,29
South coastal odisha,besara,,1 bowl,6.7,19.2,8.5,6.4,350,165
South coastal odisha,dahi machhi,,1 bowl,49.0,16.0,7.2,1.6,350,380
