Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Rajasthan Godwad,Ker Sangri,,1 cup,7.2,18.7,15.3,8.4,166,261
Rajasthan Godwad,Gatte Ki Sabzi,,1 bowl,10.6,29.8,20.2,6.5,350,343
Rajasthan Godwad,Bajra Roti ,,1 roti,3.0,17.2,1.3,2.2,40,91
Rajasthan Godwad,Dal Baati Churma,,2 bati + 1/2 cup dal,15.3,61.7,14.8,11.2,230,440
Rajasthan Godwad,Laal Maas,,1 cup,27.0,5.9,24.5,1.8,250,348
Rajasthan Godwad,Rabodi ki Sabzi,,1 cup,4.8,16.6,15.0,2.8,250,219
Rajasthan Godwad,Panchkuta,,1 cup,7.2,18.7,15.3,8.4,166,261
Rajasthan Godwad,Sev Tamatar ki Sabzi,,1 bowl,3.8,17.3,7.0,4.9,233,145
Rajasthan Godwad,Kachri ki Chutney,,1 tablespoon,0.1,0.4,1.3,0.2,15,41
Rajasthan Godwad,Jowar ki Roti,,1 roti,2.0,19.5,0.8,1.7,50,91
Rajasthan Godwad,Papad ki Sabzi,,1 bowl,5.1,16.3,12.5,11.1,233,197
Rajasthan Godwad,Kadhi Pakora,,1 cup,7.4,18.7,16.6,3.8,250,253
Rajasthan Godwad,Churma Ladoo,,1 ladoo,2.3,20.5,11.0,1.9,40,190
Rajasthan Godwad,raab,,1 cup,2.7,8.8,2.5,0.7,250,68
Rajasthan Godwad,Aloo Posto,,1 cup,4.0,30.3,8.2,5.1,166,210
Rajasthan Godwad,Mirchi Vada,,1 pakora,2.7,10.8,12.7,1.8,100,168
Rajasthan Godwad,Ghevar,,1 ghevar,1.4,14.2,13.8,0.4,50,186
