Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
naadu naadu,Kongunadu Chicken Curry,1 cup,3.5,18.2,15.1,5.8,69.00,250,215
naadu naadu,pongal,1 cup,6.0,39.0,5.0,1.8,27.00,216,223
naadu naadu,ambu Koozh,1 cup,3.1,14.5,1.9,1.8,44.00,250,86
naadu naadu,rasam,1 cup,2.5,9.6,1.3,1.7,33.00,250,60
naadu naadu,reode Turmeric Rice,1 cup,4.0,40.0,4.5,2.0,28.00,206,216
naadu naadu,athal Kuzhambu,1 bowl,3.7,37.0,1.7,6.5,155.00,350,170
naadu naadu,Tirunelveli Halwa,1 cup,2.1,80.0,15.0,1.2,9.62,216,452
naadu naadu,Salem Sambhar,1 cup,9.2,27.0,5.0,6.0,60.00,250,189
naadu naadu,annapurna milk,1 cup,8.0,12.0,8.8,0.0,275.00,250,158
naadu naadu,Karur Parotta,1 piece,4.9,35.0,15.0,1.1,34.21,80,295
naadu naadu,Madurai Mutton Kari Dosai*,1 piece,9.7,16.9,15.4,1.8,10.76,131,247
naadu naadu,Thanjavur Thalicha Idli,1 piece,2.9,14.9,2.6,1.3,4.21,50,95
naadu naadu,Dindigul Biriyani,1 cup,12.2,31.0,12.0,1.4,118.90,206,283
naadu naadu,Namakkal Egg Parotta,1 piece,7.4,17.6,8.3,2.7,40.00,80,172
naadu naadu,Kanchipuram Idli*,1 piece,2.9,14.3,1.1,1.3,9.18,50,78
