Cuisines,Food item,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
kongu naadu,Kongunadu Chicken Curry,1 cup,27.8,19.8,13.4,5.5,58.00,250.0,313
kongu naadu,Ellu Sadam,1 cup,11.4,48.0,14.5,6.0,218.00,206.0,366
kongu naadu,Ragi Roti,1 piece,2.0,19.2,0.4,3.0,92.00,40.0,87
kongu naadu,Kambu Koozh,1 cup,3.1,14.5,1.9,1.9,43.00,250.0,86
kongu naadu,Paniyaram,1 piece,0.8,4.0,1.4,0.4,3.08,20.0,32
kongu naadu,Pallipalayam Chicken,1 cup,20.5,9.8,22.2,3.6,38.57,250.0,316
kongu naadu,Kongunadu Mutton Kuzhambu*,1 cup,20.3,13.2,20.5,4.9,236.00,250.0,314
kongu naadu,Vazhaipoo Vadai,1 piece,2.4,7.6,6.0,2.4,18.66,40.0,94
kongu naadu,undakkai Vathal Kuzhambu,1 tablespoon,0.8,5.0,3.0,0.0,35.10,11.7,49
kongu naadu,Murungai Keerai Poriyal,1 cup,1.4,2.6,0.4,1.9,65.00,21.0,19
kongu naadu,Thengai Paal Kozhi,1 cup,24.5,11.7,20.7,3.7,42.50,250.0,324
kongu naadu,Avarakkai Poriyal,1 cup,6.4,11.4,11.5,11.1,92.00,166.0,175
kongu naadu,Kongunadu Urundai Kuzhambu,1 cup,7.8,25.5,11.5,5.7,69.00,250.0,234
kongu naadu,Seeraga Samba Rice Biriyani,1 cup,4.0,35.0,7.1,2.8,32.00,206.0,223
kongu naadu,Nethili Fry,1 cup,26.7,9.2,31.5,1.9,72.00,166.0,424
kongu naadu,Kootu,1 cup,17.5,110.7,4.1,17.0,108.00,170.0,549
