Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Uttar Pradesh Awadh,Galouti Kebab,,1 kabab,6.3,2.8,13.7,0.8,50,161
Uttar Pradesh Awadh,Lucknawi Biryani,,1 cup,3.8,28.9,3.3,2.7,206,162
Uttar Pradesh Awadh,Tunday Kababi,,1 kabab,6.3,2.8,13.7,0.8,50,161
Uttar Pradesh Awadh,Awadhi Pulao,,1 cup,3.8,28.9,3.3,2.7,206,162
Uttar Pradesh Awadh,Nihari,,1 bowl,41.6,15.9,13.0,5.7,350,337
Uttar Pradesh Awadh,Shami Kebab,,1 kebab,4.5,3.4,9.5,0.9,50,118
Uttar Pradesh Awadh,Kakori Kebab,,1 kebab,11.6,6.4,20.9,1.1,87,262
Uttar Pradesh Awadh,Korma,,1 bowl,6.2,24.4,11.9,4.8,350,224
Uttar Pradesh Awadh,Sheermal,,1 slice,2.9,15.7,4.3,0.7,38,114
Uttar Pradesh Awadh,Malai Ki Gilori,,1 piece,1.5,1.8,8.4,0.3,30,88
