Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
Uttar Pradesh bundelkand,Bhutte Ki Kees,,1 cup,5.3,24.3,10.5,3.1,,
Uttar Pradesh bundelkand,Bedmi Poori,,1 puri,4.9,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
Uttar Pradesh bundelkand,,,,,,,,,
vUttar Pradesh bundelkand,,,,,,,,,
