Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
North Karnataka,jolada rotti,"[Lunch, Dinner]",1 roti,2.00,19.50,0.80,1.70,3.83,50.00,91.00
North Karnataka,heerekai ennegayi,"[Lunch, Dinner]",1 piece,0.20,0.80,1.50,0.50,5.68,20.00,18.00
North Karnataka,shenga holige,"[Breakfast, Snack]",1 poli,4.90,24.20,10.40,1.70,29.41,50.00,204.00
North Karnataka,sajje rotti,"[Lunch, Dinner]",1 roti,3.70,20.90,6.80,3.10,11.94,50.00,158.00
North Karnataka,mirchi bajji,"[Snack, Dinner]",1 bajji,2.40,7.10,9.90,1.50,18.79,80.00,127.00
North Karnataka,badanekai yennegai,"[Lunch, Dinner]",1 cup,5.10,13.80,12.60,6.40,66.88,250.00,184.00
North Karnataka,kadubu,"[Breakfast, Snack]",1 kadubu,1.40,16.90,0.70,0.70,9.3,45.00,81.00
North Karnataka,mensinkai hasi huli,"[Lunch, Dinner]",1 cup,6.90,13.60,16.40,3.50,212,250.00,227.00
North Karnataka,jhunka,"[Lunch, Dinner]",1 cup,12.00,34.60,8.50,6.30,51.1,166.00,264.00
North Karnataka,kempu harive soppuna palya,"[Lunch, Dinner]",1 cup,4.70,10.10,9.90,1.20,309,166.00,139.00
Coastal Karnataka,mangalore buns,"[Breakfast, Snack]",1 bun,2.60,23.50,4.90,1.00,15.4,50.00,150.00
Coastal Karnataka,neer dosa,"[Breakfast, Dinner]",1 dosa,1.40,14.60,1.60,0.30,3.53,70.00,79.00
Coastal Karnataka,chicken ghee roast,"[Lunch, Dinner]",1 bowl,48.90,8.40,12.80,1.40,114,233.00,343.00
Coastal Karnataka,meen gassi,"[Lunch, Dinner]",1 bowl,36.00,10.30,18.10,2.30,54,350.00,341.00
Coastal Karnataka,prawn gassi,"[Lunch, Dinner]",1 bowl,36.10,22.50,18.50,8.80,200,350.00,390.00
Coastal Karnataka,crab sukka,"[Lunch, Dinner]",1 bowl,27.30,8.70,9.50,2.70,100,233.00,234.00
Coastal Karnataka,sannas,"[Lunch, Dinner]",1 rice cake,1.60,15.00,0.60,0.20,3.2,50.00,72.00
Coastal Karnataka,pathrode,"[Snack, Lunch, Dinner]",1 piece,1.70,6.80,3.00,1.70,19.81,30.00,60.00
Coastal Karnataka,pomfret tawa fry,"[Lunch, Dinner]",1 piece,11.30,9.40,8.10,0.70,16.46,80.00,155.00
Coastal Karnataka,goli baje,[Snack],1 piece,1.10,6.50,1.70,0.30,14.17,20.00,46.00
Coastal Karnataka,squid garlic butter,"[Lunch, Dinner]",1 bowl,10.09,5.50,10.70,0.60,39,100.00,162.00
Coastal Karnataka,bangude pulu munchi,"[Lunch, Dinner]",1 bowl,45.40,9.00,9.00,1.60,107,337.00,293.00
South Karnataka,ragi mudde,"[Lunch, Dinner]",2 balls,4.30,42.80,0.80,6.80,212.83,300.00,195.00
South Karnataka,ragi roti,"[Breakfast, Dinner]",1 roti,2.00,19.20,0.40,3.10,92.14,40.00,87.00
South Karnataka,benne dosa,"[Breakfast, Dinner]",1 dosa,2.90,19.70,2.50,0.90,5.95,60.00,113.00
South Karnataka,akki roti,"[Breakfast, Dinner]",1 roti,2.20,26.70,4.90,1.40,14.48,80.00,162.00
South Karnataka,bsi bele bath,"[Lunch, Dinner]",1 cup,7.60,30.80,8.90,5.00,37.36,206.00,233.00
South Karnataka,vangi bath,[Lunch],1 cup,5.00,20.60,11.00,7.60,120.22,166.00,197.00
South Karnataka,kesari bhath,"[Breakfast, Dessert]",1/2 cup (katori),2.80,32.50,6.30,1.00,11.34,130.00,195.00
South Karnataka,coorgi pandi curry,"[Lunch, Dinner]",1 cup,21.10,4.50,28.40,1.60,46.13,216.00,362.00
South Karnataka,kodava kuutu curry,"[Lunch, Dinner]",1 cup,7.30,35.10,12.50,13.80,82.56,250.00,279.00
